iteration_date,iteration_num,focus_areas,changes_summary,baseline_scope,best_pre_sharpe,best_post_sharpe,best_pre_strategy,best_post_strategy,diagnostic_scores,decision,convergence_reason,diagnostic_report,strategy_iteration_ids,notes
2026-05-02,1,data,factors,model,backtest,"Added valuation factor, enabled 3-seed ensemble with bagging_fraction=0.8, ran factor mining, added portfolio caps config, fixed data_random_seed ensemble bug",csi1000_balanced,1.483,1.483,csi1000_balanced,csi1000_balanced,"{""data"":2,""factors"":2,""model"":3,""backtest"":3,""execution"":3}",no_improvement,All model-level changes degraded performance: valuation+ensemble Sharpe 0.65, ensemble+tech Sharpe 0.74 vs baseline 1.48. Factor mining found 0 valid factors (compute failures). Ensemble has data_random_seed bug (now fixed).,docs/strategy_log/system_diagnostic_2026-05-02.md,,"Valuation factors add noise (Alpha158 already captures value signals implicitly). Bootstrap bagging (0.8 fraction) weakens individual members. FactorMiner._compute silently fails for all 24 candidates. Portfolio caps added to base.yaml but untested. 10/15 fetcher cache domains still unfetched."
2026-05-02,2,model,backtest,"Tested seed-only ensemble (no bagging, 3 members, full data per member). Same-model Sharpe 1.722 vs baseline 1.483, but WFV mean_sharpe 0.552 vs 0.668.",csi1000_balanced,0.668,0.552,csi1000_balanced,csi1000_balanced,"{""data"":2,""factors"":2,""model"":3,""backtest"":3,""execution"":3}",no_improvement,Seed ensemble improves same-model Sharpe (+0.239) but degrades WFV mean_sharpe (-0.116). Same-model improvement is misleading — ensemble smooths predictions on seen data without improving out-of-sample generalization. WFV already trains per-fold so ensemble marginal benefit is small.,docs/strategy_log/system_diagnostic_2026-05-02.md,,"Key insight: same-model backtest improvements don't predict WFV improvements. Ensemble reduces in-sample variance but not out-of-sample error. The data_random_seed bug fix is valuable for future use but ensemble should stay disabled by default."
2026-05-02,3,factors,model,backtest,"Fixed FactorMiner IC bug (index level mismatch), tested northbound/sector/margin factors, XGBoost model, LGBM hyperparameter tuning, backtest param grid search. All changes degraded WFV.",csi1000_balanced,0.668,0.469,csi1000_balanced,csi1000_balanced,"{""data"":2,""factors"":3,""model"":3,""backtest"":3,""execution"":3}",no_improvement,"FactorMiner fixed (9 factors found but weak IC/ICIR). Northbound factor: zero-fill noise. Sector factor: categorical dominance (Sharpe 0.30). XGBoost: worse than LGBM (0.999 vs 1.483). LGBM reg: both configs degraded. Grid search topk=20/n_drop=1: same-model +0.024 but WFV -0.199. Alpha158 captures all accessible alpha; param tuning only reweights overfit.",docs/strategy_log/system_diagnostic_2026-05-02.md,,"Iteration #3 conclusion: the system has reached a ceiling with Alpha158+LGBM. All factor additions add noise (Alpha158 redundancy), all model changes degrade performance, all param changes overfit same-model. WFV mean_sharpe=0.668 is the ceiling. To break through, need genuinely new data sources (e.g., alternative data, news sentiment, supply-chain) that are orthogonal to price/volume features."
2026-05-11,4,"backtest,execution","Aligned adaptive dd20 reusable config with the 2026-05-05 WFV-winning parameters and promoted it as a stability candidate.",adaptive_dd20_wf,1.2184,0.9844,adaptive_baseline_wf,csi1000_adaptive_dd20,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":3,""web"":3}",mixed,"Adaptive dd20 improves fold stability and worst drawdown but does not beat adaptive_baseline_wf on mean Sharpe; keep as stability candidate, not return-seeking default.",docs/strategy_log/system_diagnostic_2026-05-11.md,adaptive_dd20_wf,"Config path previously pointed to topk=10/n_drop=5/hold=8 while WFV winner was topk=15/n_drop=3/hold=8. Fixed config, added candidate index entry, and added a dry-run daily command."
2026-05-13,5,"research,infrastructure,backtest,execution","Integrated Phase 1 agent strategy iteration layer with prompt catalog, context pack, memory log, CLI, and offline run bundles.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":4,""web"":3}",mixed,"Infrastructure iteration only: no new strategy experiment was promoted, but the repo now has an offline, auditable agent planning layer for future controlled ablations.",docs/strategy_log/system_diagnostic_2026-05-13.md,,"Added run_agent_strategy_iteration.py, prompt files, context/memory support, focused tests, and a sample run bundle under docs/strategy_log/agent_runs/phase1_repo_integration. Verified with targeted pytest and CLI smoke runs."
2026-05-13,6,"research,infrastructure,backtest,execution","Implemented Phase 2 agent planner hardening: richer context slices, upstream role carry-over, warning-only role schema validation, and prompt regression coverage.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":4,""web"":3}",mixed,"Infrastructure iteration only: the agent layer now gives future LLM runs stronger evidence context and visible schema warnings, but no strategy candidate was promoted.",docs/strategy_log/system_diagnostic_2026-05-13_phase2.md,,"Added artifact/config/memory summaries to context, attached upstream_roles/required_outputs/schema_warnings to role reports, generated docs/strategy_log/agent_runs/phase2_context_schema_carryover, and verified with targeted pytest plus CLI smoke run."
2026-05-13,7,"research,infrastructure,backtest","Implemented Phase 3 agent feedback loop: parse existing result CSVs, generate structured feedback/reflection, and append outcome memory entries.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":4,""web"":3}",mixed,"Infrastructure iteration only: the agent layer can now learn from existing backtest/WFV artifacts, but no new experiment was run and no strategy was promoted.",docs/strategy_log/system_diagnostic_2026-05-13_phase3.md,,"Added MetricSnapshot/StrategyFeedback, CSV evaluator, CLI feedback mode, memory outcome entries, and sample docs/strategy_log/agent_runs/phase3_feedback_sample feedback from fundamental_gate_top70 vs control. Verified with targeted pytest."
2026-05-13,8,"research,infrastructure,execution","Implemented Phase 4 command proposal and approval gate layer for agent strategy iteration.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":4,""web"":3}",mixed,"Infrastructure iteration only: the agent layer now proposes auditable commands and can execute only safe-local checks, but no strategy run was launched or promoted.",docs/strategy_log/system_diagnostic_2026-05-13_phase4.md,,"Added CommandProposal/CommandExecutionPlan schemas, execution risk classifier, guarded templates for backtest/WFV/rebalance/data fetch, CLI --propose-actions/--execute-safe flags, and sample docs/strategy_log/agent_runs/phase4_command_gate command artifacts. Verified with targeted pytest."
2026-05-13,9,"research,infrastructure,execution","Implemented Phase 4-C approval-file execution for agent command proposals.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":5,""web"":3}",mixed,"Infrastructure iteration only: command execution now supports explicit approval files with command hash matching, but no protected strategy command was approved or run.",docs/strategy_log/system_diagnostic_2026-05-13_phase4c.md,,"Added command_sha256, CommandApproval, approval_template.yaml generation, --execute-approved/--approval-file CLI flags, approval run-id/hash validation, and sample docs/strategy_log/agent_runs/phase4c_approval_gate artifacts. Verified with 23 targeted tests and compileall."
2026-05-13,10,"research,infrastructure,execution,backtest","Implemented Phase 4-D execution summaries and feedback handoff detection for agent command bundles.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":5,""web"":3}",mixed,"Infrastructure iteration only: command bundles now summarize execution and detect backtest/WFV CSV feedback candidates, but no protected strategy command was approved or run.",docs/strategy_log/system_diagnostic_2026-05-13_phase4d.md,,"Added FeedbackCandidate, execution_summary.md generation, backtest --output-csv and WFV summary candidate detection, and sample docs/strategy_log/agent_runs/phase4d_execution_feedback_handoff artifacts. Verified with 26 targeted tests and compileall."
2026-05-13,11,"research,infrastructure,web","Implemented Phase 5 Web Dashboard integration for agent strategy iteration runs.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":5,""web"":4}",mixed,"Infrastructure iteration only: agent run artifacts are now browsable and creatable from the dashboard, but no command execution was exposed in the UI.",docs/strategy_log/system_diagnostic_2026-05-13_phase5.md,,"Added /api/agents browse/create/regenerate endpoints, Agent Runs React page, navigation/i18n/types, and sample docs/strategy_log/agent_runs/phase5_dashboard_integration_smoke created through TestClient. Verified with 39 targeted tests, app import, and frontend build."
2026-05-13,12,"research,infrastructure,web","Added explicit quick/deep LLM tier configuration for agent strategy iteration roles.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":4,""execution"":5,""web"":4}",mixed,"Infrastructure iteration only: role LLM model selection is now configurable by tier, with secrets still environment-only and no strategy experiment run.",docs/strategy_log/system_diagnostic_2026-05-13_llm_tiers.md,,"Added llm.tiers to config/agent_strategy_iteration.yaml, wired reasoning_effort/temperature/max_tokens through OpenAICompatibleChatClient, passed config through RoleRunner/Orchestrator, and aligned Web-created runs with the YAML config. Verified with focused pytest and compileall."
2026-05-14,13,"backtest,execution,infrastructure,web","Completed Dashboard Console Stage 1 hardening: backtest CLI parity, task artifact lineage, self-starting e2e, and TaskDrawer observability.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":3,""factors"":3,""model"":4,""backtest"":5,""execution"":5,""web"":5}",mixed,"Infrastructure iteration only: console contracts and acceptance gates improved, but no strategy experiment was run or promoted.",docs/strategy_log/system_diagnostic_2026-05-14_dashboard_console_stage1.md,,"Added benchmark/deal-price/cost parity through run_backtest.py and GridSearchBacktest, populated model/signal/rebalance result_paths, made browser e2e self-start FastAPI, and enhanced TaskDrawer filters/copy/snapshots/failure details."
2026-05-14,14,"data,factors,model,backtest,execution,web","Completed Dashboard Console product iteration: professional fixed-shell UI plus richer Backtest, Signals, Models, Data Explorer, and Factor Research workbenches.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":4,""factors"":4,""model"":5,""backtest"":5,""execution"":5,""web"":5}",mixed,"Product/infrastructure iteration only: research workflow observability improved, but no strategy experiment was run or promoted.",docs/strategy_log/system_diagnostic_2026-05-14_dashboard_console_product.md,,"Fixed the sidebar and reduced white-space-heavy styling; added Backtest benchmark/equity/drawdown/compare views, Signals rebalance cache charts, expanded model training configuration, Data cache health, and Factor Research validation workflow. Verified with full pytest, frontend typecheck/build, e2e, and local Chrome screenshots."
2026-05-15,15,"research,infrastructure,web","Added optional virtual-chair meeting mode for agent strategy iteration with configurable round and per-round role caps.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":4,""factors"":4,""model"":5,""backtest"":5,""execution"":5,""web"":5}",mixed,"Infrastructure/product iteration only: agent discussion orchestration improved, but no strategy experiment was run or promoted.",docs/strategy_log/system_diagnostic_2026-05-15_agent_meeting_mode.md,,"Preserved sequential mode as default; added meeting mode, virtual chair decisions, discussion_trace artifacts, CLI/API/Web run-creation options, and caps for max_rounds plus max_roles_per_round. Verified with targeted pytest, compileall, frontend build, and no-LLM meeting smoke run."
2026-05-17,16,"research,infrastructure,execution,web","Implemented Phase 6 evidence-bound agent loop with structured research constraints, meeting quality gates, next-iteration feedback handoff, and Web-managed Codex task approvals.",adaptive_baseline_wf,1.2184,1.2184,adaptive_baseline_wf,adaptive_baseline_wf,"{""data"":4,""factors"":4,""model"":5,""backtest"":5,""execution"":5,""web"":5}",mixed,"Infrastructure/product iteration only: agent plans are more evidence-bound and operable, but no strategy experiment was run or promoted.",docs/strategy_log/system_diagnostic_2026-05-17_agent_evidence_bound_loop.md,,"Added research_constraints to context/plan bundles, enforced chair coverage gates, wrote next_iteration artifacts from feedback, exposed agent_tasks in Web, and added agent task approval/execution endpoints. Verified with compileall, 62 targeted tests, frontend build, and no-LLM Phase 6 smoke."
